transaction_id,date,description,amount,category
625f22b1,2012-04-01 00:12:00,From 12345-678-912-2 AMB Internal Transfer,500.0,DC
312f23fd,2012-04-01 00:12:00,AMB ****2049 Loan Drawdown ,1500.0,BI
3dbc798e,2012-04-01 00:12:00,Ch 0001 ,-125.0,0001
fd62f3c0,2012-04-02 00:12:00,To 54321-987-654-0 Mr Landlord,-800.0,BP
ed694477,2012-04-03 00:12:00,To 34567-012-987-1 Power Suppl.,-110.0,BP
5971bf79,2012-04-03 00:12:00,To 76543-210-123-5 Telecom,-150.0,BP
508c03d4,2012-04-08 00:12:00,Ch 0003 ,-350.0,0003
bc1b278e,2012-04-08 00:12:00,AMB ATM Withdrawal,-200.0,ATM
7ba91cb0,2012-04-08 00:12:00,The City Express Advert Lge,-220.0,DE
ab8602c9,2012-04-09 00:12:00,BT *****5024,-102.5,POS
85e975aa,2012-04-10 00:12:00,Acct Overdraw Fee ,-10.0,OD
c6742e69,2012-04-21 00:12:00,Deposit 10001,900.0,Dep
1be10890,2012-04-23 00:12:00,Deposit 10002,980.0,Dep
b9f9d25e,2012-04-24 00:12:00,Depost 10003,1100.0,Dep
a1d49a0d,2012-04-25 00:12:00, Dep 10001 Correction,-50.0,BI
004fa030,2012-04-25 00:12:00,A Chapman Wages,-250.0,DE
bf31a123,2012-04-26 00:12:00,Deposit 10004,325.0,Dep
d7eba1d2,2012-04-27 00:12:00,Deposit 10005,269.0,Dep
95d43016,2012-04-28 00:12:00,All W/Sale St *****5024,-86.0,POS
d3335588,2012-04-28 00:12:00,Deposit 10006,201.0,Dep
a5942ac1,2012-04-29 00:12:00,FloralOnline *****5024,-1200.0,POS
d8695d31,2012-04-29 00:12:00,Deposit 10007,665.0,Dep
293053bb,2012-04-30 00:12:00,AirlineOnline *****5024,-280.0,POS
bd3558ec,2012-04-30 00:12:00,Deposit 10008,110.0,Dep
13b1fc1b,2012-04-30 00:12:00,Charges ,-35.0,Fee
9c1d3ed8,2012-04-30 00:12:00,AMB Loans 95621,-110.0,BI
470064ae,2012-04-30 00:12:00,Account Maintenance ,-5.0,Fee
3dce2c93,2012-04-30 00:12:00,Ch Clearance ,-25.0,Fee
