transaction_id,date,description,amount,category
TX94333,2023-03-06,Legal Consultation,-600.0,Legal
TX46401,2023-03-18,Client Payment - Gamma Inc,3400.0,Revenue
TX17376,2023-03-05,Client Payment - Late,500.0,Revenue
TX62307,2023-03-06,Coffee & Snacks,-85.5,Office Expense
TX33873,2023-03-28,Contractor Payment,-1000.0,Contractor
TX59643,2023-03-09,Office Supplies - Staples,-150.0,Office Expense
TX24979,2023-03-08,Software - Slack,-80.0,Software
TX42157,2023-03-01,Office Rent,-2000.0,Rent
TX61996,2023-03-16,Cleaning Service,-250.0,Maintenance
TX57734,2023-03-17,Travel - Delta Airlines,-450.0,Travel
TX23848,2023-03-30,Vendor Payment - Check 101,-377.0,Vendor
TX50299,2023-03-23,Client Dinner,-120.0,Meals
TX10564,2023-03-09,Office Supplies - Staples,-150.0,Office Expense
TX26938,2023-03-05,Hotel - Marriott,-380.0,Travel
TX78772,2023-04-02,Vendor Payment - Check 104,-423.0,Vendor
TX44440,2023-03-03,Uber Rides,-45.0,Travel
TX83568,2023-03-27,Marketing - Google Ads,-500.0,Marketing
TX95819,2023-03-20,Software - Zoom,-40.0,Software
TX67009,2023-03-28,Client Payment - Acme Corp,2500.0,Revenue
TX97282,2023-03-12,Marketing - LinkedIn,-300.0,Marketing
TX77588,2023-03-19,Software Subscription - Adobe,-54.99,Software
TX19382,2023-03-29,Team Lunch,-150.0,Meals
TX70341,2023-03-01,AWS Cloud Hosting,-320.15,Software
TX19493,2023-03-29,Vendor Payment - Check 100,-293.0,Vendor
TX92480,2023-03-27,Client Payment - Delta Co,1800.0,Revenue
TX65296,2023-03-28,Client Payment - Acme Corp,2500.0,Revenue
TX91688,2023-03-08,Equipment - Dell Monitors,-600.0,Equipment
TX11927,2023-03-28,Client Payment - Epsilon Ltd,2100.0,Revenue
TX58250,2023-03-26,Office Supplies - Paper,-105.0,Office Expense
TX30508,2023-03-24,Internet - Comcast,-110.0,Utilities
TX59023,2023-03-18,Accounting Services,-400.0,Accounting
TX19909,2023-03-31,Vendor Payment - Check 102,-287.0,Vendor
TX64470,2023-03-22,Payroll - March,-8500.0,Payroll
TX48352,2023-03-11,Client Payment - Beta LLC,1200.0,Revenue
TX43026,2023-04-01,Vendor Payment - Check 103,-138.0,Vendor
